name,category
NRP-USD,crypto
IDEA-USD,crypto
WATCH-USD,crypto
UIP-USD,crypto
KART-USD,crypto
FF-USD,crypto
KTON-USD,crypto
BLK-USD,crypto
HAND-USD,crypto
NYZO-USD,crypto
FNT-USD,crypto
HBX-USD,crypto
STA-USD,crypto
AMN-USD,crypto
CHADS-USD,crypto
CNS-USD,crypto
WSPP-USD,crypto
CLAM-USD,crypto
GSC-USD,crypto
ZUKI-USD,crypto
BIS-USD,crypto
ΤBTC-USD,crypto
SONO-USD,crypto
WPR-USD,crypto
CRE8-USD,crypto
GTC-USD,crypto
PLOT-USD,crypto
NUX-USD,crypto
APPC-USD,crypto
AME-USD,crypto
XMY-USD,crypto
DRF-USD,crypto
BATH-USD,crypto
DITTO-USD,crypto
BCUBE-USD,crypto
CAT-USD,crypto
WNL-USD,crypto
KEYFI-USD,crypto
RVL-USD,crypto
TIPS-USD,crypto
PLA-USD,crypto
BITB-USD,crypto
RMT-USD,crypto
GVT-USD,crypto
YOU-USD,crypto
MDS-USD,crypto
SCCP-USD,crypto
POT-USD,crypto
XCHF-USD,crypto
XAUR-USD,crypto
DMG-USD,crypto
MCASH-USD,crypto
BZNT-USD,crypto
ROYA-USD,crypto
EFL-USD,crypto
EFC-USD,crypto
1X2-USD,crypto
XHI-USD,crypto
AVL-USD,crypto
AUC-USD,crypto
MOWA-USD,crypto
SAO-USD,crypto
CORA-USD,crypto
VPP-USD,crypto
ARGO-USD,crypto
SYP-USD,crypto
TCC-USD,crypto
SMG-USD,crypto
NCDT-USD,crypto
ETGP-USD,crypto
OML-USD,crypto
BISON-USD,crypto
MND-USD,crypto
ADABOY-USD,crypto
ACA-USD,crypto
AIT-USD,crypto
ZDR-USD,crypto
SNOW-USD,crypto
UCA-USD,crypto
XDN-USD,crypto
XRC-USD,crypto
TUP-USD,crypto
BHD-USD,crypto
PRCY-USD,crypto
MTN-USD,crypto
D-USD,crypto
SEEN-USD,crypto
EDN-USD,crypto
GOF-USD,crypto
DEV-USD,crypto
OWC-USD,crypto
OMNI-USD,crypto
JUP-USD,crypto
APN-USD,crypto
GEN-USD,crypto
EYE-USD,crypto
DAC-USD,crypto
ADM-USD,crypto
ROCKI-USD,crypto
ADB-USD,crypto
BUNI-USD,crypto
INFI-USD,crypto
FJC-USD,crypto
ADD-USD,crypto
LLG-USD,crypto
HNST-USD,crypto
PMGT-USD,crypto
FUND-USD,crypto
CPT-USD,crypto
SYNC-USD,crypto
TRIO-USD,crypto
LEAD-USD,crypto
BANKER-USD,crypto
TERA-USD,crypto
VDR-USD,crypto
EARNX-USD,crypto
GCC-USD,crypto
XAMP-USD,crypto
MARK-USD,crypto
SKM-USD,crypto
GOZ-USD,crypto
DAV-USD,crypto
SPO-USD,crypto
SPIKE-USD,crypto
BLINK-USD,crypto
PCNT-USD,crypto
GIO-USD,crypto
THC-USD,crypto
BLKC-USD,crypto
WELT-USD,crypto
XST-USD,crypto
